,RegionID,State,County,City,ZipCode,Bedrooms,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
97,66126,DC,District of Columbia,Washington,20002,1,100886.19,116529.55,146809.69,173813.17,214465.42,256464.27,286114.25,279927.99,279511.81,266110.18,263362.18,266924.76,273674.2,306476.85,331281.48,343329.81,356636.26,369950.34,382569.18,391816.63,408932.13,409544.44,408473.1,401221.87
98,86026,MO,Saint Charles County,Saint Peters,63376,1,,,,,,,,,,,,,,49020.65,51141.06,53518.01,57645.1,64068.51,69171.06,73458.01,80540.11,89500.12,101803.36,112785.02
99,74242,TN,Davidson County,Nashville,37211,1,45489.58,44353.16,49199.26,50396.7,48305.4,47365.6,49773.25,51006.74,51864.01,50216.28,46335.83,45046.44,46645.78,45779.02,48268.44,54276.62,67990.01,84634.46,101551.01,108111.34,116417.8,131221.62,161859.65,171326.8
100,84654,IL,Cook County,Chicago,60657,1,125363.22,146886.4,163953.64,172445.14,180733.89,191579.18,203345.99,203691.35,199332.15,185030.18,179057.36,162959.98,151841.64,166326.47,190730.68,196121.08,199233.53,206337.74,215847.56,213478.13,211494.2,215295.17,224445.26,230384.82
101,72363,FL,Broward County,Miramar,33025,1,,,61435.95,67956.88,72800.86,87564.65,105345.2,112928.66,96479.32,65401.39,51992.2,48847.87,54648.41,71645.98,89513.14,99288.36,109912.22,117623.8,124192.69,131359.64,142016.51,155408.92,190552.92,220021.04
102,61803,NY,Bronx County,New York,10463,1,,,,,,,,,,,,,200780.78,196018.06,196658.71,211058.82,220785.37,226865.62,238929.73,255840.84,255113.21,243674.73,244334.68,241966.25
103,72530,FL,Broward County,Fort Lauderdale,33311,1,19466.76,23127.87,29480.65,33109.08,39527.69,53091.67,72264.26,74194.53,61542.2,45707.04,38062.35,31804.94,33058.2,36959.37,41407.45,46543.45,51382.74,56650.34,63028.72,68946.0,76572.44,85120.21,104821.89,128793.06
104,98930,HI,Honolulu County,Waipahu,96797,1,,,,,,,,,,,,,,,,,228612.65,256617.3,280802.62,290409.49,298736.51,319155.48,369958.25,390172.82
105,62020,NY,Kings County,New York,11209,1,168802.64,189811.1,206004.08,251209.57,297370.76,359441.29,396193.41,390058.04,407535.5,333392.49,303024.49,262130.63,255799.19,268513.89,278541.56,284731.03,297956.69,330841.6,354480.84,364255.99,360812.02,347416.62,346803.07,345050.78
106,63776,NY,Tompkins County,Ithaca,14850,1,,,,,,,,107119.59,115149.97,123677.53,127086.92,125961.53,127850.65,134722.03,142481.06,151701.99,156550.72,164717.09,171757.71,178169.28,183222.68,192354.19,215657.31,221954.43
